Radius,Region,Lat
11.89289131,8,24.55887437
8.059735763,8,24.55894243
10.47909612,8,24.55897146
10.92949751,8,24.55909519
9.5617014,8,24.55903094
10.6793094,8,24.55912208
8.93771902,8,24.55902071
9.23695538,8,24.55901524
9.71141621,8,24.55930506
9.593586385,8,24.55930387
9.736985962,8,24.55933623
9.844790543,8,24.55939928
9.092280395,8,24.55960463
7.010975987,8,24.55952421
8.467063322,8,24.55954253
6.661842256,8,24.55938762
7.488126833,8,24.55934979
9.27221518,8,24.55945591
9.502177399,8,24.55986613
7.719337877,8,24.55997511
8.28850719,8,24.55950541
8.087991153,8,24.55949756
7.849749851,8,24.55959392
8.938211377,8,24.55962438
11.87832081,8,24.56044548
9.505116893,8,24.56001885
11.45624868,8,24.56012854
9.58283908,8,24.56013068
11.72813601,8,24.56002741
8.309068375,8,24.55994151
8.07662557,8,24.55986038
14.28053523,8,24.56030034
7.162216661,8,24.56003455
9.835067775,8,24.55942874
11.15767895,8,24.55919817
8.627784471,8,24.55918294
9.385558321,8,24.55893338
10.25311103,8,24.55922772
10.14924208,8,24.55927841
15.62102133,8,24.55996726
9.59582915,8,24.55977234
11.0227574,8,24.55944492
8.975657489,8,24.5589439
10.48998656,8,24.55910428
10.44381085,8,24.55936602
10.51409793,8,24.55948214
15.60471426,8,24.55949927
9.50074026,8,24.55954805
19.55189109,5,24.63541914
14.01433225,5,24.63545316
9.527809467,5,24.63550694
12.96372309,5,24.63535679
8.78810832,5,24.63545126
8.866286301,5,24.63555738
8.7562802,5,24.63551075
9.214646023,5,24.63569277
8.757264864,5,24.63566137
12.24536979,5,24.63612536
11.09144664,5,24.63643279
8.889936444,5,24.63661957
10.1615585,5,24.63651107
14.18226805,5,24.63596332
8.833713157,5,24.63623505
9.070677189,5,24.63603018
13.54713388,5,24.63654184
13.28417354,5,24.636477
12.78764068,5,24.63654223
6.846442317,5,24.6366618
7.555167878,5,24.63671633
14.26657197,5,24.6366848
7.751063589,5,24.63628248
7.48794723,5,24.63627613
7.362122465,5,24.63629695
9.797641238,5,24.6358746
7.517909949,5,24.63570427
6.609184125,5,24.63574036
7.493796572,5,24.63575225
5.748654342,5,24.63611076
8.673559899,5,24.63614427
9.008782242,5,24.63639213
7.894402755,5,24.63640244
8.754015075,5,24.63644051
6.81457739,5,24.63670741
11.78164156,5,24.63661778
11.11942713,5,24.63685295
10.2867557,5,24.63634557
11.35991139,5,24.63641834
6.559729262,5,24.63602454
6.600535836,5,24.63582744
8.021385826,5,24.63537269
9.560692899,5,24.63525391
8.73054961,5,24.63528604
7.969862994,5,24.63528584
6.890571443,5,24.63584263
